seed,condition,tx_ibo_db,rx_backoff_db,mode,modulation,snr_db,delta_pd,delta_lo,delta_hi
101,tx_6dB,6.0,,frozen,qpsk,4,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,16qam,4,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,32qam,4,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,bpsk,4,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,qpsk,4,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,16qam,4,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,32qam,4,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,bpsk,6,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,qpsk,6,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,16qam,6,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,32qam,6,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,bpsk,6,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,qpsk,6,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,16qam,6,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,32qam,6,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,bpsk,8,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,qpsk,8,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,16qam,8,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,32qam,8,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,bpsk,8,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,qpsk,8,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,16qam,8,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,32qam,8,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,bpsk,10,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,qpsk,10,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,16qam,10,0.0,0.0,0.0
